plot_ID,date_time,canopy_height_mean_plot,elevation_mean_plot,MAT_plot,MAP_plot,tree_cover_mean_plot,reiner_tree_cover_plot,fire_events_since_2001_plot,days_since_last_fire,reserve,site_ID,days_since_last_fire_site,fire_events_since_2001_site,MAP_site,MAT_site,elevation_site,tree_cover_site,reiner_tree_cover_site,canopy_height_site
LA_S01_P01,2024-02-15T07:10:34.061001Z,5.73010276896613,1194,19.2500000000001,487.4,36.1250917797997,9.22222222222222,1,4286,Lapalala,LA_S01,4285.8,1,487.4,19.2500000000001,1196.15,31.9739288995509,6.35206349206349,5.10196068312183
LA_S01_P02,2024-02-15T10:18:11.451Z,2.23324808207425,1195,19.2500000000001,487.4,15.765177546577,4.23809523809524,1,4286,Lapalala,LA_S01,4285.8,1,487.4,19.2500000000001,1196.15,31.9739288995509,6.35206349206349,5.10196068312183
LA_S01_P03,2024-02-15T12:26:57.879002Z,3.91817018744491,1196.5,19.2500000000001,487.4,29.1306454000019,3.68181818181818,1,4286,Lapalala,LA_S01,4285.8,1,487.4,19.2500000000001,1196.15,31.9739288995509,6.35206349206349,5.10196068312183
LA_S02_P01,2024-02-16T06:54:08.490Z,4.1104144567535,1190,19.35,550.6,21.1082715988159,3.81818181818182,0,8460,Lapalala,LA_S02,8460,0,550.6,19.35,1186.58333333333,53.8217511631737,4.71195716564138,9.84059796854599
LA_S02_P02,2024-02-16T07:50:34.630001Z,10.4647622619356,1189.25,19.35,550.6,55.9050902866182,4.42105263157895,0,8460,Lapalala,LA_S02,8460,0,550.6,19.35,1186.58333333333,53.8217511631737,4.71195716564138,9.84059796854599
LA_S02_P03,2024-02-16T08:51:24.445999Z,12.6387043250235,1187,19.35,550.6,73.6929341366417,3.9047619047619,0,8460,Lapalala,LA_S02,8460,0,550.6,19.35,1186.58333333333,53.8217511631737,4.71195716564138,9.84059796854599
LA_S02_P04,2024-02-16T10:12:54.868Z,10.7333641683772,1185,19.35,550.6,61.4229957830338,6.31578947368421,0,8460,Lapalala,LA_S02,8460,0,550.6,19.35,1186.58333333333,53.8217511631737,4.71195716564138,9.84059796854599
LA_S02_P05,2024-02-16T11:40:06.968Z,11.2557446306402,1181.66666666667,19.35,550.6,56.9794640107588,5.1,0,8460,Lapalala,LA_S02,8460,0,550.6,19.35,1186.58333333333,53.8217511631737,4.71195716564138,9.84059796854599
LA_S01_P04,2024-02-16T14:29:09.492Z,7.84337707161903,1197,19.2500000000001,487.4,47.3655879974365,7.3,1,4285.5,Lapalala,LA_S01,4285.8,1,487.4,19.2500000000001,1196.15,31.9739288995509,6.35206349206349,5.10196068312183
LA_S01_P05,2024-02-16T14:32:24.346001Z,5.7849053055048,1198.25,19.2500000000001,487.4,31.4831417739391,7.31818181818182,1,4285.5,Lapalala,LA_S01,4285.8,1,487.4,19.2500000000001,1196.15,31.9739288995509,6.35206349206349,5.10196068312183
LA_S03_P01,2024-02-17T08:31:54.053001Z,14.7365770453498,1193.5,19.2500000000001,492,72.7727310543969,1.31818181818182,0,8460,Lapalala,LA_S03,8460,0,492,19.2500000000001,1193.85,60.7859738843575,2.55974025974026,13.4146963615522
LA_S03_P02,2024-02-17T09:54:20.701Z,13.7717219307309,1193.25,19.2500000000001,492,62.9292110261463,4.57142857142857,0,8460,Lapalala,LA_S03,8460,0,492,19.2500000000001,1193.85,60.7859738843575,2.55974025974026,13.4146963615522
LA_S03_P03,2024-02-17T11:28:13.379Z,12.1834561987357,1194,19.2500000000001,492,44.538626649163,2.04545454545455,0,8460,Lapalala,LA_S03,8460,0,492,19.2500000000001,1193.85,60.7859738843575,2.55974025974026,13.4146963615522
LA_S03_P04,2024-02-17T12:52:20.426001Z,8.02121571146629,1194.5,19.2500000000001,492,43.8870473504066,2.95454545454545,0,8460,Lapalala,LA_S03,8460,0,492,19.2500000000001,1193.85,60.7859738843575,2.55974025974026,13.4146963615522
LA_S03_P05,2024-02-17T14:50:14Z,18.3605109214783,1194,19.2500000000001,492,79.8022533416748,1.90909090909091,0,8460,Lapalala,LA_S03,8460,0,492,19.2500000000001,1193.85,60.7859738843575,2.55974025974026,13.4146963615522
LA_S04_P01,2024-02-18T06:45:47.152Z,37.5681899677623,1192,19.35,489.5,99.9868729331277,2.0952380952381,2,133,Lapalala,LA_S04,133,2,489.5,19.35,1190.6,86.2887784445239,6.16969696969697,25.0029967959219
LA_S04_P02,2024-02-18T07:19:13.249Z,25.9080283425071,1191,19.35,489.5,91.6827139420943,6.04545454545455,2,133,Lapalala,LA_S04,133,2,489.5,19.35,1190.6,86.2887784445239,6.16969696969697,25.0029967959219
LA_S04_P03,2024-02-18T08:46:54.111Z,28.7891833678536,1190.5,19.35,489.5,91.3871897821841,7.80952380952381,2,133,Lapalala,LA_S04,133,2,489.5,19.35,1190.6,86.2887784445239,6.16969696969697,25.0029967959219
LA_S04_P04,2024-02-18T09:59:34.535Z,16.8603009310636,1190,19.35,489.5,78.018496426669,7.13636363636364,2,133,Lapalala,LA_S04,133,2,489.5,19.35,1190.6,86.2887784445239,6.16969696969697,25.0029967959219
LA_S04_P05,2024-02-18T10:45:48.667Z,15.8892813704231,1189.5,19.35,489.5,70.3686191385443,7.76190476190476,2,133,Lapalala,LA_S04,133,2,489.5,19.35,1190.6,86.2887784445239,6.16969696969697,25.0029967959219
LA_S05_P01,2024-02-18T12:29:32.223999Z,4.32788557455536,1146.5,19.65,500.2,24.741038038988,4.45454545454545,0,8460,Lapalala,LA_S05,8460,0,501.56,19.64,1145.75,35.9518316075625,7.334329004329,7.37202745731051
LA_S05_P02,2024-02-18T12:37:39.719002Z,2.48849934055692,1145,19.65,500.2,19.0922177405584,4.09090909090909,0,8460,Lapalala,LA_S05,8460,0,501.56,19.64,1145.75,35.9518316075625,7.334329004329,7.37202745731051
LA_S05_P03,2024-02-18T13:22:49.505001Z,18.4274501385896,1145.25,19.65,500.2,66.3063201904297,13.65,0,8460,Lapalala,LA_S05,8460,0,501.56,19.64,1145.75,35.9518316075625,7.334329004329,7.37202745731051
LA_S05_P04,2024-02-18T14:06:32.612999Z,4.80080473287539,1145,19.65,500.2,32.1003036715768,6.38095238095238,0,8460,Lapalala,LA_S05,8460,0,501.56,19.64,1145.75,35.9518316075625,7.334329004329,7.37202745731051
LA_S05_P05,2024-02-18T14:59:25.992001Z,6.81549749997529,1147,19.6,507,37.5192783962597,8.0952380952381,0,8460,Lapalala,LA_S05,8460,0,501.56,19.64,1145.75,35.9518316075625,7.334329004329,7.37202745731051
JE_S01_P01,2024-02-21T11:18:58.882Z,6.15336362475699,1195,19.15,549.9,25.9084329605103,11.2272727272727,0,8460,Jembisa,JE_S01,8460,0,549.9,19.15,1197.71666666667,24.0247405708857,8.83722943722944,4.46484196792861
