NPP,reserve
5858.384765625,Lapalala
6200.583984375,Jembisa
6285.46923828125,Willowisp
5754.24169921875,Syringa Sands
6669.69677734375,Summerplace
6318.78955078125,Dabchick
6995.72705078125,Ants Farm
5958.96875,Kaingo
6340.8798828125,Swebeswebe
5242.4638671875,Marakele
