SourceFile,Directory,FileName,DateTimeOriginal,Subject,TagsList,Keywords,cameraID,DateTime,roundDate,dateOnly,blastID,uniqueID,site_ID,plot_ID,reserve
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03130194_ECO_12.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03130194_ECO_12.JPG,2024:03:13 10:54:29,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_12,2024-03-13T10:54:29Z,2024-03-13T10:54:00Z,2024-03-13,ECO_12_1109,obs3460,WI_S02,WI_S02_P03,Willowisp
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03130217_ECO_31.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03130217_ECO_31.JPG,2024:03:13 16:16:56,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_31,2024-03-13T16:16:56Z,2024-03-13T16:17:00Z,2024-03-13,ECO_31_1149,obs3480,AN_S01,AN_S01_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03140043_ECO_35.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03140043_ECO_35.JPG,2024:03:14 10:21:45,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_35,2024-03-14T10:21:45Z,2024-03-14T10:22:00Z,2024-03-14,ECO_35_1201,obs3605,AN_S05,AN_S05_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03150011_ECO_39.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03150011_ECO_39.JPG,2024:03:15 12:58:51,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_39,2024-03-15T12:58:51Z,2024-03-15T12:59:00Z,2024-03-15,ECO_39_1316,obs3764,KA_S04,KA_S04_P03,Kaingo
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03150260_ECO_12.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03150260_ECO_12.JPG,2024:03:15 11:46:07,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_12,2024-03-15T11:46:07Z,2024-03-15T11:46:00Z,2024-03-15,ECO_12_1297,obs3822,WI_S02,WI_S02_P03,Willowisp
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03160042_ECO_30.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03160042_ECO_30.JPG,2024:03:16 14:32:47,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_30,2024-03-16T14:32:47Z,2024-03-16T14:33:00Z,2024-03-16,ECO_30_1370,obs4027,DA_S05,DA_S05_P03,Dabchick
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03160044_ECO_30.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03160044_ECO_30.JPG,2024:03:16 14:37:49,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_30,2024-03-16T14:37:49Z,2024-03-16T14:38:00Z,2024-03-16,ECO_30_1371,obs4030,DA_S05,DA_S05_P03,Dabchick
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03180795_ECO_34.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03180795_ECO_34.JPG,2024:03:18 17:43:00,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_34,2024-03-18T17:43:00Z,2024-03-18T17:43:00Z,2024-03-18,ECO_34_1558,obs4493,AN_S04,AN_S04_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03180994_ECO_25.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03180994_ECO_25.JPG,2023:03:18 14:00:44,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_25,2024-03-18T14:00:44Z,2024-03-18T14:01:00Z,2024-03-18,ECO_25_1540,obs4496,SU_S05,SU_S05_P03,Summerplace
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03200100_ECO_28.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03200100_ECO_28.JPG,2024:03:20 13:47:55,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_28,2024-03-20T13:47:55Z,2024-03-20T13:48:00Z,2024-03-20,ECO_28_1679,obs4751,DA_S03,DA_S03_P03,Dabchick
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03200124_ECO_25.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03200124_ECO_25.JPG,2023:03:20 11:32:56,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_25,2024-03-20T11:32:56Z,2024-03-20T11:33:00Z,2024-03-20,ECO_25_1667,obs4762,SU_S05,SU_S05_P03,Summerplace
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03200143_ECO_25.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03200143_ECO_25.JPG,2023:03:20 16:32:11,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_25,2024-03-20T16:32:11Z,2024-03-20T16:32:00Z,2024-03-20,ECO_25_1698,obs4770,SU_S05,SU_S05_P03,Summerplace
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03200291_ECO_27.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03200291_ECO_27.JPG,2024:03:20 16:33:35,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_27,2024-03-20T16:33:35Z,2024-03-20T16:34:00Z,2024-03-20,ECO_27_1699,obs4807,DA_S02,DA_S02_P03,Dabchick
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03210810_ECO_40.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03210810_ECO_40.JPG,2024:03:21 07:49:22,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_40,2024-03-21T07:49:22Z,2024-03-21T07:49:00Z,2024-03-21,ECO_40_1723,obs5032,KA_S05,KA_S05_P03,Kaingo
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03230118_ECO_35.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03230118_ECO_35.JPG,2024:03:23 12:28:06,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_35,2024-03-23T12:28:06Z,2024-03-23T12:28:00Z,2024-03-23,ECO_35_1938,obs5359,AN_S05,AN_S05_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03230119_ECO_35.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03230119_ECO_35.JPG,2024:03:23 12:28:07,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_35,2024-03-23T12:28:07Z,2024-03-23T12:28:00Z,2024-03-23,ECO_35_1938,obs5361,AN_S05,AN_S05_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03230120_ECO_35.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03230120_ECO_35.JPG,2024:03:23 12:28:07,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_35,2024-03-23T12:28:07Z,2024-03-23T12:28:00Z,2024-03-23,ECO_35_1938,obs5364,AN_S05,AN_S05_P03,Ant's Farm
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03230179_ECO_25.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03230179_ECO_25.JPG,2023:03:23 14:06:19,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_25,2024-03-23T14:06:19Z,2024-03-23T14:06:00Z,2024-03-23,ECO_25_1963,obs5421,SU_S05,SU_S05_P03,Summerplace
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03240017_ECO_46.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03240017_ECO_46.JPG,2024:03:24 12:11:11,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_46,2024-03-24T12:11:11Z,2024-03-24T12:11:00Z,2024-03-24,ECO_46_2036,obs5580,MA_S01,MA_S01_P03,Marakele
