bare_ground,rock_cover,tsq_x_shrub,tsq_t_shrub,tsq_x_tree,tsq_t_tree,reproductive_height,bulk_density,leaf_size,hairs,width_cm,length_cm,height_cm,growth_form,life_form,growth_forms_per_plot,plot_ID,site_ID,species_per_plot,dominant_growth_form_plot,forbs_per_plot,graminoids_per_plot
50,0,5,20,220,170,34.5454545454546,low,Macro,Absent,9.66666666666667,24.4,19.3,Straight forb,Forb,7,JE_S02_P02,JE_S02,15,Relaxed tussock graminoid,8,5
40,0,100,130,460,300,52.5,medium,Thin linear,Absent,25.8181818181818,33.8181818181818,22.8636363636364,Relaxed tussock graminoid,Graminoid,7,JE_S02_P04,JE_S02,11,Relaxed tussock graminoid,4,7
75,0,240,220,1040,220,36.5,low,Thin linear,Absent,7.71428571428571,14.1428571428571,10.0357142857143,Sparse upward graminoid,Forb,6,JE_S05_P01,JE_S05,14,Sparse upward graminoid,7,7
25,0,120,170,340,220,50.875,medium,Macro,Absent,26.0384615384615,36.1538461538462,40.8461538461538,Round forb,Forb,6,JE_S04_P02,JE_S04,13,Relaxed tussock graminoid,8,4
20,0,250,420,570,710,38.2857142857143,low,Thin linear,absent,9.22222222222222,14.0882352941176,19.4411764705882,Relaxed tussock graminoid,Forb,7,JE_S04_P04,JE_S04,18,Relaxed tussock graminoid,10,8
50,0,90,80,250,100,51.875,low,Macro,absent,10.6785714285714,17.2142857142857,29.1428571428571,Relaxed tussock graminoid,Graminoid,7,JE_S05_P04,JE_S05,14,Relaxed tussock graminoid,4,6
10,0,110,50,90,180,58.9666666666667,low,Macro,absent,30.35,43.675,46.475,Round forb,Forb,10,WI_S01_P03,WI_S01,20,Relaxed tussock graminoid,11,6
10,0,170,120,140,90,41,medium,Macro,absent,12.6,18.4,27.1,Round forb,Forb,6,SU_S02_P05,SU_S02,10,Angry tussock graminoid,6,3
10,0,190,60,250,390,48.9285714285714,low,Thin linear,absent,14.0666666666667,20.4,26.6333333333333,Sparse upward graminoid,Forb,6,SU_S03_P04,SU_S01,15,Relaxed tussock graminoid,8,7
20,0,182,151,330,202,53.1428571428572,low,Thin linear,absent,7.63636363636364,12.2272727272727,19.2727272727273,Sparse upward graminoid,Graminoid,6,SU_S04_P04,SU_S05,11,Angry tussock graminoid,5,6
70,0,90,140,190,200,50.8888888888889,low,Macro,absent,9.76666666666667,15.2333333333333,16.4333333333333,Sparse upward graminoid,Forb,6,DA_S03_P04,DA_S03,15,Sparse upward graminoid,8,6
50,0,119,65,92,254,104.333333333333,medium,Macro,absent,31.2857142857143,41,76.0714285714286,Straight forb,Forb,4,DA_S02_P04,DA_S02,7,Large graminoid,4,2
40,0,25,130,660,160,50,low,Macro,absent,9.92105263157895,14.8947368421053,27.3157894736842,Straight forb,Forb,9,DA_S02_P02,DA_S02,19,Large graminoid,10,8
55,0,122,258,390,498,55.84375,low,Thin linear,absent,14,17.1111111111111,28.0833333333333,Sparse upward graminoid,Graminoid,6,DA_S02_P03,DA_S02,18,Sparse upward graminoid,8,9
