plot_ID,date_time,canopy_height_plot,elevation_plot,mat_plot,map_plot,tree_cover_plot,reiner_tree_cover_plot,reserve,site_ID,canopy_height_site,elevation_site,mat_site,map_site,tree_cover_site,reiner_tree_cover_site
LA_S01_P04,2024-02-16T14:29:09.492Z,7.80259418487549,1197,19.25,487.400024414063,47.4779853820801,7.27983093261719,Lapalala,LA_S01,5.11914024353027,1195.84453125,19.25,487.400012207031,32.1301750183105,6.34829483032227
LA_S01_P05,2024-02-16T14:32:24.346001Z,5.60734367370606,1197.39404296875,19.25,487.399993896484,30.7581043243408,7.40508794784546,Lapalala,LA_S01,5.11914024353027,1195.84453125,19.25,487.400012207031,32.1301750183105,6.34829483032227
LA_S03_P01,2024-02-17T08:31:54.053001Z,14.9709558486938,1193.11022949219,19.25,492,73.6399765014649,1.09997034072876,Lapalala,LA_S03,13.3563892364502,1193.75244140625,19.25,492,60.8801597595215,2.71493353843689
LA_S03_P02,2024-02-17T09:54:20.701Z,13.8490495681763,1193.81689453125,19.25,492.000030517578,62.9817428588867,5.04084968566895,Lapalala,LA_S03,13.3563892364502,1193.75244140625,19.25,492,60.8801597595215,2.71493353843689
LA_S03_P03,2024-02-17T11:28:13.379Z,11.6157789230347,1194,19.25,491.999969482422,43.8617706298828,2.23408555984497,Lapalala,LA_S03,13.3563892364502,1193.75244140625,19.25,492,60.8801597595215,2.71493353843689
LA_S03_P04,2024-02-17T12:52:20.426001Z,8.5016450881958,1194.21826171875,19.25,492,46.0877265930176,3.04813385009766,Lapalala,LA_S03,13.3563892364502,1193.75244140625,19.25,492,60.8801597595215,2.71493353843689
LA_S03_P05,2024-02-17T14:50:14Z,17.8445167541504,1193.61682128906,19.25,492,77.8295822143555,2.15162825584412,Lapalala,LA_S03,13.3563892364502,1193.75244140625,19.25,492,60.8801597595215,2.71493353843689
LA_S04_P01,2024-02-18T06:45:47.152Z,37.0023880004883,1192.55163574219,19.3500003814697,489.500030517578,99.9701690673828,1.83115613460541,Lapalala,LA_S04,24.9330671310425,1190.68081054688,19.3500003814697,489.499993896484,86.6135498046875,5.79305493831635
LA_S04_P02,2024-02-18T07:19:13.249Z,26.2412014007568,1191,19.3500003814697,489.5,92.3969802856445,6.38320541381836,Lapalala,LA_S04,24.9330671310425,1190.68081054688,19.3500003814697,489.499993896484,86.6135498046875,5.79305493831635
LA_S04_P03,2024-02-18T08:46:54.111Z,28.3579845428467,1190.83386230469,19.3500003814697,489.5,91.1712417602539,6.83125400543213,Lapalala,LA_S04,24.9330671310425,1190.68081054688,19.3500003814697,489.499993896484,86.6135498046875,5.79305493831635
LA_S04_P04,2024-02-18T09:59:34.535Z,17.0733757019043,1189.83740234375,19.3500003814697,489.499969482422,78.5712280273438,6.98597049713135,Lapalala,LA_S04,24.9330671310425,1190.68081054688,19.3500003814697,489.499993896484,86.6135498046875,5.79305493831635
LA_S04_P05,2024-02-18T10:45:48.667Z,15.9903860092163,1189.18115234375,19.3500003814697,489.499969482422,70.9581298828125,6.93368864059448,Lapalala,LA_S04,24.9330671310425,1190.68081054688,19.3500003814697,489.499993896484,86.6135498046875,5.79305493831635
LA_S05_P01,2024-02-18T12:29:32.223999Z,4.58951282501221,1146.36474609375,19.6499996185303,500.200012207031,25.7202796936035,3.6168360710144,Lapalala,LA_S05,7.57793741226196,1145.55727539063,19.6361827850342,502.079132080078,36.7572315216064,7.09708662033081
LA_S05_P02,2024-02-18T12:37:39.719002Z,2.77167654037476,1145.81713867188,19.6499996185303,500.199981689453,20.983419418335,4.83205604553223,Lapalala,LA_S05,7.57793741226196,1145.55727539063,19.6361827850342,502.079132080078,36.7572315216064,7.09708662033081
LA_S05_P03,2024-02-18T13:22:49.505001Z,18.6273460388184,1144.5791015625,19.6499996185303,500.200012207031,66.5608749389649,13.3255033493042,Lapalala,LA_S05,7.57793741226196,1145.55727539063,19.6361827850342,502.079132080078,36.7572315216064,7.09708662033081
LA_S05_P04,2024-02-18T14:06:32.612999Z,5.3422703742981,1145,19.6500015258789,500.199981689453,34.4586563110352,5.92605447769165,Lapalala,LA_S05,7.57793741226196,1145.55727539063,19.6361827850342,502.079132080078,36.7572315216064,7.09708662033081
