plot_ID,site_ID,reserve,species_richness_plot,species_richness_site,species_richness_reserve,forb_richness_plot,forb_richness_site,forb_richness_reserve,graminoid_richness_plot,graminoid_richness_site,graminoid_richness_reserve,woody_richness_plot,woody_richness_site,woody_richness_reserve
KA_S02_P03,KA_S02,Kaingo,8,18,81,3,9,48,5,7,20,3,11,38
KA_S02_P05,KA_S02,Kaingo,9,18,81,4,9,48,5,7,20,,11,38
KA_S03_P01,KA_S03,Kaingo,13,23,81,8,14,48,5,7,20,6,9,38
WI_S05_P01,WI_S05,Willowisp,13,36,108,7,22,63,4,10,27,12,21,38
WI_S05_P03,WI_S05,Willowisp,11,36,108,6,22,63,3,10,27,4,21,38
WI_S03_P01,WI_S03,Willowisp,10,35,108,6,22,63,2,9,27,9,21,38
WI_S03_P02,WI_S03,Willowisp,9,35,108,5,22,63,3,9,27,12,21,38
WI_S04_P03,WI_S04,Willowisp,12,35,108,5,17,63,5,13,27,8,21,38
WI_S04_P05,WI_S04,Willowisp,7,35,108,4,17,63,3,13,27,,21,38
LA_S04_P01,LA_S04,Lapalala,13,36,88,7,18,52,4,13,28,6,16,40
LA_S05_P03,LA_S05,Lapalala,11,29,88,4,12,52,5,14,28,3,9,40
SY_S02_P04,SY_S02,Syringa Sands,11,51,122,5,23,68,6,20,41,9,16,29
SY_S04_P03,SY_S04,Syringa Sands,14,42,122,9,24,68,5,14,41,8,13,29
SU_S05_P04,SU_S05,Summerplace,15,41,132,7,21,75,7,18,44,,19,38
SU_S05_P05,SU_S05,Summerplace,14,41,132,7,21,75,7,18,44,,19,38
AN_S01_P04,AN_S01,Ant's Farm,19,47,136,10,22,73,8,21,48,11,13,37
AN_S04_P01,AN_S04,Ant's Farm,7,51,136,2,29,73,5,18,48,7,18,37
AN_S04_P04,AN_S04,Ant's Farm,13,51,136,7,29,73,5,18,48,7,18,37
KA_S04_P02,KA_S04,Kaingo,12,28,81,6,12,48,4,12,20,10,17,38
KA_S04_P01,KA_S04,Kaingo,9,28,81,1,12,48,5,12,20,11,17,38
KA_S04_P04,KA_S04,Kaingo,11,28,81,2,12,48,6,12,20,7,17,38
KA_S04_P05,KA_S04,Kaingo,7,28,81,3,12,48,3,12,20,,17,38
KA_S05_P01,KA_S05,Kaingo,10,39,81,3,23,48,7,10,20,9,20,38
KA_S05_P04,KA_S05,Kaingo,14,39,81,9,23,48,3,10,20,11,20,38
SW_S01_P05,SW_S01,Swebeswebe,6,30,91,2,17,57,3,12,25,,8,37
SW_S03_P02,SW_S03,Swebeswebe,9,23,91,4,14,57,4,6,25,4,14,37
SW_S02_P03,SW_S02,Swebeswebe,9,36,91,5,23,57,3,9,25,9,26,37
SW_S03_P04,SW_S03,Swebeswebe,10,23,91,7,14,57,3,6,25,7,14,37
SW_S03_P01,SW_S03,Swebeswebe,3,23,91,1,14,57,2,6,25,4,14,37
MA_S03_P01,MA_S03,Marakele,9,30,97,5,17,54,4,9,25,8,18,43
MA_S04_P01,MA_S04,Marakele,8,37,97,4,23,54,4,12,25,9,20,43
MA_S03_P05,MA_S03,Marakele,12,30,97,6,17,54,6,9,25,,18,43
MA_S05_P01,MA_S05,Marakele,14,40,97,4,16,54,7,12,25,17,29,43
AN_S05_P04,AN_S05,Ant's Farm,13,55,136,7,26,73,4,20,48,10,22,37
LA_S01_P03,LA_S01,Lapalala,8,32,88,6,21,52,2,9,28,12,16,40
LA_S03_P01,LA_S03,Lapalala,17,45,88,9,21,52,7,19,28,10,18,40
SY_S05_P05,SY_S05,Syringa Sands,12,42,122,8,25,68,3,15,41,,16,29
AN_S05_P03,AN_S05,Ant's Farm,15,55,136,6,26,73,6,20,48,13,22,37
WI_S02_P01,WI_S02,Willowisp,19,48,108,12,32,63,4,8,27,10,17,38
SW_S02_P05,SW_S02,Swebeswebe,14,36,91,8,23,57,2,9,25,,26,37
MA_S03_P02,MA_S03,Marakele,10,30,97,5,17,54,5,9,25,11,18,43
KA_S03_P04,KA_S03,Kaingo,5,23,81,1,14,48,3,7,20,7,9,38
SY_S02_P02,SY_S02,Syringa Sands,13,51,122,5,23,68,6,20,41,5,16,29
SY_S02_P05,SY_S02,Syringa Sands,19,51,122,10,23,68,7,20,41,,16,29
SY_S04_P04,SY_S04,Syringa Sands,14,42,122,9,24,68,4,14,41,7,13,29
SU_S02_P01,SU_S02,Summerplace,11,47,132,5,29,75,5,13,44,9,15,38
SU_S05_P02,SU_S05,Summerplace,11,41,132,6,21,75,4,18,44,13,19,38
DA_S02_P05,DA_S02,Dabchick,20,43,145,8,24,89,9,16,42,,11,33
JE_S03_P05,JE_S03,Jembisa,14,42,102,11,28,64,3,13,31,,19,35
WI_S01_P04,WI_S01,Willowisp,11,58,108,4,35,63,4,18,27,6,20,38
WI_S02_P02,WI_S02,Willowisp,17,48,108,11,32,63,3,8,27,11,17,38
WI_S02_P03,WI_S02,Willowisp,24,48,108,16,32,63,7,8,27,8,17,38
WI_S02_P04,WI_S02,Willowisp,18,48,108,12,32,63,4,8,27,8,17,38
SW_S04_P03,SW_S04,Swebeswebe,11,32,91,7,20,57,3,9,25,7,15,37
SW_S05_P03,SW_S05,Swebeswebe,12,34,91,8,21,57,3,9,25,8,15,37
SW_S05_P04,SW_S05,Swebeswebe,13,34,91,5,21,57,5,9,25,10,15,37
SY_S04_P01,SY_S04,Syringa Sands,12,42,122,7,24,68,4,14,41,6,13,29
SU_S05_P01,SU_S05,Summerplace,12,41,132,7,21,75,5,18,44,8,19,38
DA_S04_P02,DA_S04,Dabchick,14,34,145,4,17,89,7,14,42,4,7,33
WI_S04_P02,WI_S04,Willowisp,11,35,108,6,17,63,3,13,27,12,21,38
SY_S03_P05,SY_S03,Syringa Sands,10,44,122,5,25,68,4,15,41,,10,29
SU_S03_P05,SU_S03,Summerplace,15,34,132,8,16,75,6,15,44,,9,38
AN_S01_P02,AN_S01,Ant's Farm,13,47,136,8,22,73,5,21,48,4,13,37
AN_S04_P03,AN_S04,Ant's Farm,18,51,136,10,29,73,6,18,48,10,18,37
WI_S02_P05,WI_S02,Willowisp,7,48,108,5,32,63,2,8,27,,17,38
SY_S03_P01,SY_S03,Syringa Sands,14,44,122,8,25,68,6,15,41,4,10,29
SY_S03_P04,SY_S03,Syringa Sands,10,44,122,8,25,68,2,15,41,6,10,29
SU_S01_P04,SU_S01,Summerplace,15,54,132,8,29,75,3,18,44,8,16,38
SU_S03_P03,SU_S03,Summerplace,10,34,132,5,16,75,5,15,44,2,9,38
AN_S02_P03,AN_S02,Ant's Farm,16,39,136,6,16,73,5,15,48,10,17,37
LA_S05_P05,LA_S05,Lapalala,11,29,88,6,12,52,4,14,28,,9,40
SW_S03_P03,SW_S03,Swebeswebe,7,23,91,4,14,57,2,6,25,8,14,37
MA_S05_P04,MA_S05,Marakele,16,40,97,5,16,54,6,12,25,19,29,43
MA_S01_P01,MA_S01,Marakele,13,44,97,7,27,54,3,12,25,15,27,43
SU_S02_P03,SU_S02,Summerplace,17,47,132,9,29,75,6,13,44,9,15,38
MA_S05_P02,MA_S05,Marakele,11,40,97,3,16,54,3,12,25,17,29,43
WI_S04_P04,WI_S04,Willowisp,10,35,108,4,17,63,3,13,27,4,21,38
SU_S01_P02,SU_S01,Summerplace,9,54,132,4,29,75,5,18,44,7,16,38
AN_S01_P05,AN_S01,Ant's Farm,15,47,136,3,22,73,8,21,48,,13,37
AN_S02_P01,AN_S02,Ant's Farm,11,39,136,5,16,73,5,15,48,4,17,37
AN_S02_P04,AN_S02,Ant's Farm,13,39,136,8,16,73,4,15,48,13,17,37
MA_S05_P03,MA_S05,Marakele,9,40,97,6,16,54,2,12,25,13,29,43
MA_S05_P05,MA_S05,Marakele,9,40,97,4,16,54,3,12,25,,29,43
KA_S02_P04,KA_S02,Kaingo,5,18,81,2,9,48,3,7,20,7,11,38
SW_S05_P01,SW_S05,Swebeswebe,5,34,91,3,21,57,2,9,25,9,15,37
KA_S01_P03,KA_S01,Kaingo,4,24,81,2,11,48,2,11,20,9,16,38
KA_S03_P03,KA_S03,Kaingo,4,23,81,2,14,48,1,7,20,5,9,38
SW_S02_P01,SW_S02,Swebeswebe,9,36,91,7,23,57,2,9,25,9,26,37
SW_S03_P05,SW_S03,Swebeswebe,4,23,91,1,14,57,1,6,25,,14,37
